lofi_n,load_awareness,lofi_delta,link_failure_rate,test,drop_rate,delay,throughput,control_overhead,ttl_rate,no_entry_rate
0,False,0.05,0.05,1,7.1%,110.7,0.206622,0.000000,5.8%,0.0%
0,False,0.05,0.05,2,11.3%,106.6,0.196362,0.000000,7.0%,0.0%
0,False,0.05,0.05,3,3.5%,105.1,0.209061,0.000000,0.0%,0.0%
0,False,0.05,0.05,4,2.7%,108.4,0.205752,0.000000,1.3%,0.0%
0,False,0.05,0.05,5,6.8%,104.2,0.198867,0.000000,2.5%,0.0%
1,False,0.05,0.05,1,14.6%,110.7,0.188795,0.000774,10.9%,0.0%
1,False,0.05,0.05,2,9.7%,109.0,0.218561,0.000702,4.3%,0.0%
1,False,0.05,0.05,3,8.5%,108.3,0.205719,0.000862,4.7%,0.0%
1,False,0.05,0.05,4,15.0%,110.5,0.204634,0.000956,10.1%,0.0%
1,False,0.05,0.05,5,7.6%,111.1,0.195436,0.000888,4.2%,0.0%
2,False,0.05,0.05,1,1.6%,108.2,0.212210,0.001484,0.0%,0.0%
2,False,0.05,0.05,2,5.4%,111.7,0.215171,0.001548,4.0%,0.0%
2,False,0.05,0.05,3,5.4%,111.3,0.225143,0.001434,4.0%,0.0%
2,False,0.05,0.05,4,2.3%,109.1,0.231861,0.001564,0.5%,0.0%
2,False,0.05,0.05,5,7.7%,109.2,0.236724,0.001437,5.2%,0.0%
3,False,0.05,0.05,1,1.5%,106.6,0.225910,0.001840,0.0%,0.0%
3,False,0.05,0.05,2,3.1%,105.8,0.208733,0.002089,1.6%,0.0%
3,False,0.05,0.05,3,4.3%,111.6,0.224916,0.001922,2.9%,0.0%
3,False,0.05,0.05,4,2.0%,106.4,0.237555,0.001960,0.1%,0.0%
3,False,0.05,0.05,5,2.1%,109.7,0.221197,0.002245,0.7%,0.0%
4,False,0.05,0.05,1,1.5%,102.5,0.223523,0.002379,0.0%,0.0%
4,False,0.05,0.05,2,1.4%,102.1,0.203117,0.003124,0.0%,0.0%
4,False,0.05,0.05,3,1.4%,102.2,0.211496,0.002728,0.0%,0.0%
4,False,0.05,0.05,4,1.9%,102.6,0.242018,0.002989,0.0%,0.0%
4,False,0.05,0.05,5,5.3%,101.6,0.225271,0.003008,3.1%,0.0%
5,False,0.05,0.05,1,3.7%,113.4,0.219804,0.004858,2.1%,0.0%
5,False,0.05,0.05,2,1.4%,111.3,0.201658,0.004438,0.0%,0.0%
5,False,0.05,0.05,3,4.7%,116.8,0.218214,0.003975,3.2%,0.0%
5,False,0.05,0.05,4,4.9%,111.3,0.211779,0.004800,2.5%,0.0%
5,False,0.05,0.05,5,4.2%,114.2,0.200094,0.004237,2.6%,0.0%
-1,False,0.05,0.05,1,7.2%,92.2,0.036700,0.040478,0.0%,2.8%
-1,False,0.05,0.05,2,2.7%,100.6,0.043239,0.039397,0.0%,0.5%
-1,False,0.05,0.05,3,4.8%,92.8,0.034715,0.042039,0.0%,0.5%
-1,False,0.05,0.05,4,3.2%,99.8,0.032563,0.039702,0.0%,0.8%
-1,False,0.05,0.05,5,4.3%,98.3,0.033075,0.041014,0.0%,1.6%
0,False,0.05,0.05,1,4.3%,109.5,0.207021,0.000000,0.5%,0.0%
0,False,0.05,0.05,2,3.5%,105.2,0.200452,0.000000,0.0%,0.0%
0,False,0.05,0.05,3,7.8%,107.5,0.191328,0.000000,4.4%,0.0%
0,False,0.05,0.05,4,11.2%,106.7,0.180897,0.000000,7.0%,0.0%
0,False,0.05,0.05,5,3.4%,107.2,0.199038,0.000000,0.0%,0.0%
0,False,0.05,0.05,6,2.7%,108.2,0.202696,0.000000,1.3%,0.0%
0,False,0.05,0.05,7,3.5%,105.4,0.195055,0.000000,0.0%,0.0%
0,False,0.05,0.05,8,6.1%,109.8,0.186993,0.000000,4.7%,0.0%
0,False,0.05,0.05,9,2.8%,110.4,0.193904,0.000000,1.4%,0.0%
0,False,0.05,0.05,10,11.4%,109.8,0.185085,0.000000,9.6%,0.0%
1,False,0.05,0.05,1,14.5%,110.4,0.210199,0.000727,10.2%,0.0%
1,False,0.05,0.05,2,3.4%,105.8,0.212104,0.000605,0.0%,0.0%
1,False,0.05,0.05,3,5.0%,107.9,0.207613,0.000818,1.6%,0.0%
1,False,0.05,0.05,4,4.8%,109.1,0.210865,0.000800,1.3%,0.0%
1,False,0.05,0.05,5,5.8%,108.3,0.196874,0.000701,2.4%,0.0%
1,False,0.05,0.05,6,11.6%,110.7,0.211746,0.000771,8.1%,0.0%
1,False,0.05,0.05,7,4.9%,111.2,0.210414,0.000737,1.4%,0.0%
1,False,0.05,0.05,8,3.5%,108.2,0.220104,0.000906,0.0%,0.0%
1,False,0.05,0.05,9,4.8%,108.0,0.216370,0.000844,1.3%,0.0%
1,False,0.05,0.05,10,6.4%,108.8,0.194679,0.000908,1.9%,0.0%
2,False,0.05,0.05,1,7.5%,108.7,0.236154,0.001408,4.5%,0.0%
2,False,0.05,0.05,2,1.5%,107.5,0.214670,0.001597,0.0%,0.0%
2,False,0.05,0.05,3,6.9%,110.8,0.210562,0.001709,5.0%,0.0%
2,False,0.05,0.05,4,5.2%,112.6,0.234981,0.001417,3.1%,0.0%
2,False,0.05,0.05,5,9.4%,108.0,0.218799,0.001354,7.0%,0.0%
2,False,0.05,0.05,6,6.7%,108.4,0.210208,0.001690,4.3%,0.0%
2,False,0.05,0.05,7,5.3%,108.4,0.227922,0.001480,3.0%,0.0%
2,False,0.05,0.05,8,8.3%,108.2,0.211164,0.001601,5.3%,0.0%
2,False,0.05,0.05,9,1.7%,109.0,0.243616,0.001703,0.0%,0.0%
2,False,0.05,0.05,10,8.3%,108.4,0.229407,0.001311,6.0%,0.0%
3,False,0.05,0.05,1,5.3%,105.9,0.205288,0.002207,2.9%,0.0%
3,False,0.05,0.05,2,5.7%,108.9,0.200042,0.002331,3.2%,0.0%
3,False,0.05,0.05,3,3.4%,105.8,0.221384,0.002586,1.5%,0.0%
3,False,0.05,0.05,4,2.8%,109.3,0.241992,0.002287,0.8%,0.0%
3,False,0.05,0.05,5,6.9%,105.1,0.234699,0.002035,4.0%,0.0%
3,False,0.05,0.05,6,6.8%,98.7,0.212083,0.001117,4.1%,0.0%
3,False,0.05,0.05,7,2.7%,109.4,0.223114,0.001962,0.7%,0.0%
3,False,0.05,0.05,8,3.0%,105.8,0.221607,0.002175,1.6%,0.0%
3,False,0.05,0.05,9,3.1%,105.7,0.215675,0.002179,1.6%,0.0%
3,False,0.05,0.05,10,4.0%,109.0,0.217201,0.002390,2.5%,0.0%
4,False,0.05,0.05,1,1.7%,102.5,0.242275,0.003173,0.0%,0.0%
4,False,0.05,0.05,2,1.5%,102.5,0.226387,0.003197,0.0%,0.0%
4,False,0.05,0.05,3,4.0%,104.9,0.255110,0.002698,2.5%,0.0%
4,False,0.05,0.05,4,1.4%,102.6,0.216976,0.002844,0.0%,0.0%
4,False,0.05,0.05,5,1.5%,102.1,0.218331,0.002817,0.0%,0.0%
4,False,0.05,0.05,6,1.5%,102.3,0.219024,0.002651,0.0%,0.0%
4,False,0.05,0.05,7,5.3%,101.6,0.218551,0.002805,2.5%,0.0%
4,False,0.05,0.05,8,1.3%,102.8,0.232472,0.002702,0.0%,0.0%
4,False,0.05,0.05,9,1.5%,102.9,0.213227,0.002891,0.0%,0.0%
4,False,0.05,0.05,10,1.5%,102.7,0.244907,0.002776,0.0%,0.0%
5,False,0.05,0.05,1,5.4%,111.7,0.215005,0.004327,2.5%,0.0%
5,False,0.05,0.05,2,4.0%,115.2,0.212833,0.003971,2.5%,0.0%
5,False,0.05,0.05,3,2.1%,115.5,0.229920,0.004649,0.6%,0.0%
5,False,0.05,0.05,4,2.6%,115.3,0.225299,0.003783,1.0%,0.0%
5,False,0.05,0.05,5,1.9%,111.7,0.209758,0.004713,0.0%,0.0%
5,False,0.05,0.05,6,7.2%,114.8,0.210827,0.004046,5.7%,0.0%
5,False,0.05,0.05,7,4.8%,111.0,0.223782,0.003756,2.5%,0.0%
5,False,0.05,0.05,8,1.6%,111.8,0.219907,0.004623,0.0%,0.0%
5,False,0.05,0.05,9,1.6%,111.4,0.222704,0.004160,0.0%,0.0%
5,False,0.05,0.05,10,1.6%,111.4,0.241105,0.004236,0.0%,0.0%
-1,False,0.05,0.05,1,8.7%,91.7,0.033803,0.040801,0.0%,5.4%
-1,False,0.05,0.05,2,3.4%,100.7,0.031128,0.039682,0.0%,1.3%
-1,False,0.05,0.05,3,2.1%,95.4,0.092407,0.025935,0.0%,0.0%
-1,False,0.05,0.05,4,1.9%,101.4,0.032369,0.040424,0.0%,0.1%
-1,False,0.05,0.05,5,2.8%,92.9,0.033618,0.040937,0.0%,0.3%
-1,False,0.05,0.05,6,4.5%,101.4,0.032962,0.040125,0.0%,1.1%
-1,False,0.05,0.05,7,2.9%,94.8,0.032173,0.040240,0.0%,0.5%
-1,False,0.05,0.05,8,4.4%,94.4,0.032717,0.041931,0.0%,0.8%
-1,False,0.05,0.05,9,4.8%,94.1,0.031794,0.040658,0.0%,0.7%
-1,False,0.05,0.05,10,4.7%,96.7,0.035031,0.041027,0.0%,1.2%
0,False,0.05,0.05,1,3.5%,105.4,0.190458,0.000000,0.0%,0.0%
0,False,0.05,0.05,2,10.5%,110.1,0.220921,0.000000,9.2%,0.0%
0,False,0.05,0.05,3,8.1%,106.1,0.209342,0.000000,4.6%,0.0%
0,False,0.05,0.05,4,10.5%,110.2,0.191434,0.000000,9.1%,0.0%
0,False,0.05,0.05,5,3.5%,107.2,0.208030,0.000000,0.0%,0.0%
0,False,0.05,0.05,6,3.5%,107.3,0.185602,0.000000,0.0%,0.0%
0,False,0.05,0.05,7,6.1%,108.1,0.210725,0.000000,4.7%,0.0%
0,False,0.05,0.05,8,8.0%,110.8,0.202051,0.000000,6.2%,0.0%
0,False,0.05,0.05,9,8.8%,107.2,0.190286,0.000000,4.8%,0.0%
0,False,0.05,0.05,10,8.1%,110.5,0.194477,0.000000,6.3%,0.0%
1,False,0.05,0.05,1,5.7%,108.3,0.208581,0.000825,2.4%,0.0%
1,False,0.05,0.05,2,3.4%,105.7,0.198926,0.000869,0.0%,0.0%
1,False,0.05,0.05,3,12.2%,111.0,0.206593,0.000794,8.9%,0.0%
1,False,0.05,0.05,4,12.1%,111.0,0.207457,0.000674,8.6%,0.0%
1,False,0.05,0.05,5,3.4%,108.7,0.203884,0.000708,0.0%,0.0%
1,False,0.05,0.05,6,6.0%,108.1,0.202036,0.000706,2.5%,0.0%
1,False,0.05,0.05,7,6.8%,105.0,0.220439,0.000711,2.5%,0.0%
1,False,0.05,0.05,8,3.4%,105.7,0.225713,0.000722,0.0%,0.0%
1,False,0.05,0.05,9,14.4%,114.0,0.223904,0.000747,10.9%,0.0%
1,False,0.05,0.05,10,6.8%,105.0,0.216236,0.000674,2.8%,0.0%
2,False,0.05,0.05,1,4.0%,109.3,0.244667,0.001348,2.2%,0.0%
2,False,0.05,0.05,2,2.7%,108.7,0.223820,0.001601,0.5%,0.0%
2,False,0.05,0.05,3,4.1%,109.8,0.227776,0.001384,2.2%,0.0%
2,False,0.05,0.05,4,5.2%,106.7,0.238452,0.001770,2.5%,0.0%
2,False,0.05,0.05,5,4.2%,108.3,0.245898,0.001538,1.8%,0.0%
2,False,0.05,0.05,6,4.0%,109.4,0.239493,0.001263,2.3%,0.0%
2,False,0.05,0.05,7,1.9%,107.5,0.239044,0.001172,0.0%,0.0%
2,False,0.05,0.05,8,6.2%,108.8,0.231722,0.001210,4.5%,0.0%
2,False,0.05,0.05,9,5.3%,106.7,0.219158,0.001327,3.0%,0.0%
2,False,0.05,0.05,10,5.1%,109.2,0.231859,0.001361,3.1%,0.0%
3,False,0.05,0.05,1,2.7%,109.5,0.228717,0.001894,0.7%,0.0%
3,False,0.05,0.05,2,1.9%,106.6,0.254534,0.002086,0.0%,0.0%
3,False,0.05,0.05,3,2.4%,109.4,0.232577,0.002088,0.8%,0.0%
3,False,0.05,0.05,4,5.2%,106.4,0.229870,0.001985,2.9%,0.0%
3,False,0.05,0.05,5,1.9%,108.9,0.221024,0.001801,0.0%,0.0%
3,False,0.05,0.05,6,2.5%,109.3,0.230191,0.002151,0.7%,0.0%
3,False,0.05,0.05,7,6.2%,108.6,0.220027,0.002207,3.3%,0.0%
3,False,0.05,0.05,8,2.6%,109.4,0.225861,0.001968,0.7%,0.0%
3,False,0.05,0.05,9,3.2%,105.4,0.218030,0.002273,1.6%,0.0%
3,False,0.05,0.05,10,2.9%,109.4,0.218154,0.002030,0.8%,0.0%
4,False,0.05,0.05,1,3.0%,105.5,0.216727,0.002721,1.5%,0.0%
4,False,0.05,0.05,2,5.2%,102.5,0.221851,0.002680,2.6%,0.0%
4,False,0.05,0.05,3,1.5%,102.2,0.215496,0.002999,0.0%,0.0%
4,False,0.05,0.05,4,2.0%,102.6,0.217030,0.003050,0.0%,0.0%
4,False,0.05,0.05,5,5.3%,101.7,0.225971,0.003060,3.0%,0.0%
4,False,0.05,0.05,6,5.2%,101.6,0.229396,0.002751,2.9%,0.0%
4,False,0.05,0.05,7,1.9%,102.5,0.216780,0.002831,0.0%,0.0%
4,False,0.05,0.05,8,5.1%,101.5,0.214683,0.002667,2.8%,0.0%
4,False,0.05,0.05,9,1.9%,103.1,0.217907,0.002911,0.0%,0.0%
4,False,0.05,0.05,10,1.8%,102.6,0.225153,0.002693,0.0%,0.0%
5,False,0.05,0.05,1,5.3%,111.1,0.212996,0.004046,2.5%,0.0%
5,False,0.05,0.05,2,1.6%,110.7,0.214615,0.003932,0.0%,0.0%
5,False,0.05,0.05,3,2.6%,114.3,0.200055,0.004728,0.7%,0.0%
5,False,0.05,0.05,4,3.0%,115.5,0.201078,0.004851,1.1%,0.0%
5,False,0.05,0.05,5,5.4%,111.4,0.211280,0.004100,3.1%,0.0%
5,False,0.05,0.05,6,5.3%,111.3,0.216686,0.003811,3.0%,0.0%
5,False,0.05,0.05,7,1.6%,111.1,0.205020,0.003971,0.0%,0.0%
5,False,0.05,0.05,8,2.1%,111.6,0.210430,0.003928,0.0%,0.0%
5,False,0.05,0.05,9,1.5%,112.8,0.219331,0.004210,0.0%,0.0%
5,False,0.05,0.05,1,2.0%,112.0,0.225454,0.003711,0.0%,0.0%
-1,False,0.05,0.05,1,2.1%,101.3,0.034357,0.041262,0.0%,0.1%
-1,False,0.05,0.05,2,4.1%,96.8,0.041555,0.040380,0.0%,1.9%
-1,False,0.05,0.05,3,3.9%,99.7,0.037154,0.040982,0.0%,1.6%
-1,False,0.05,0.05,4,3.1%,91.9,0.034172,0.042032,0.0%,0.1%
-1,False,0.05,0.05,5,4.4%,93.4,0.031373,0.037114,0.0%,2.2%
-1,False,0.05,0.05,1,21.5%,94.3,0.029312,0.040821,0.0%,0.1%
-1,False,0.05,0.05,2,4.2%,87.8,0.035195,0.042285,0.0%,0.5%
-1,False,0.05,0.05,3,2.3%,88.1,0.062843,0.033515,0.0%,0.2%
-1,False,0.05,0.05,4,4.1%,90.7,0.034069,0.038449,0.0%,0.7%
-1,False,0.05,0.05,5,3.4%,100.7,0.046348,0.042410,0.0%,0.9%
-1,False,0.05,0.05,6,2.8%,99.3,0.033003,0.042897,0.0%,0.4%
-1,False,0.05,0.05,7,5.7%,90.4,0.030133,0.041102,0.0%,0.6%
-1,False,0.05,0.05,8,6.1%,89.2,0.032725,0.041694,0.0%,1.8%
-1,False,0.05,0.05,9,3.2%,100.5,0.034024,0.036061,0.0%,0.5%
-1,False,0.05,0.05,10,11.0%,90.9,0.035013,0.041196,0.0%,5.9%
0,False,0.05,0.05,1,2.8%,108.3,0.169037,0.000000,1.3%,0.0%
0,False,0.05,0.05,2,2.8%,108.3,0.190439,0.000000,1.3%,0.0%
0,False,0.05,0.05,3,6.1%,108.0,0.180894,0.000000,4.7%,0.0%
0,False,0.05,0.05,4,4.4%,105.0,0.204212,0.000000,0.3%,0.0%
0,False,0.05,0.05,5,6.1%,107.5,0.185342,0.000000,4.7%,0.0%
0,False,0.05,0.05,6,11.4%,110.2,0.197272,0.000000,9.6%,0.0%
0,False,0.05,0.05,7,3.5%,105.1,0.192210,0.000000,0.0%,0.0%
0,False,0.05,0.05,8,11.6%,108.5,0.178793,0.000000,9.8%,0.0%
0,False,0.05,0.05,9,8.2%,110.6,0.181059,0.000000,6.2%,0.0%
0,False,0.05,0.05,10,6.9%,104.2,0.204284,0.000000,2.6%,0.0%
0,False,0.05,0.05,11,6.1%,109.9,0.193594,0.000000,4.7%,0.0%
0,False,0.05,0.05,12,7.1%,110.7,0.197468,0.000000,5.7%,0.0%
0,False,0.05,0.05,13,7.9%,107.5,0.199169,0.000000,4.5%,0.0%
0,False,0.05,0.05,14,7.0%,104.4,0.183450,0.000000,2.5%,0.0%
0,False,0.05,0.05,15,12.2%,106.5,0.188756,0.000000,7.5%,0.0%
0,False,0.05,0.05,16,7.7%,108.5,0.175954,0.000000,2.9%,0.0%
0,False,0.05,0.05,17,7.2%,110.8,0.163699,0.000000,5.7%,0.0%
0,False,0.05,0.05,18,3.5%,105.2,0.168760,0.000000,0.0%,0.0%
0,False,0.05,0.05,19,4.1%,108.5,0.194356,0.000000,0.1%,0.0%
0,False,0.05,0.05,20,6.2%,107.6,0.207651,0.000000,4.7%,0.0%
1,False,0.05,0.05,1,12.6%,114.0,0.210403,0.000896,9.2%,0.0%
1,False,0.05,0.05,2,7.5%,105.1,0.193797,0.000781,2.5%,0.0%
1,False,0.05,0.05,3,14.8%,113.8,0.226635,0.000716,11.4%,0.0%
1,False,0.05,0.05,4,3.5%,107.8,0.217890,0.000648,0.0%,0.0%
1,False,0.05,0.05,5,12.7%,110.7,0.199101,0.000799,9.2%,0.0%
1,False,0.05,0.05,6,3.4%,105.8,0.210517,0.000735,0.0%,0.0%
1,False,0.05,0.05,7,14.6%,112.6,0.198188,0.000795,10.8%,0.0%
1,False,0.05,0.05,8,7.1%,108.2,0.207139,0.000730,3.6%,0.0%
1,False,0.05,0.05,9,12.6%,111.1,0.206000,0.000764,9.1%,0.0%
1,False,0.05,0.05,10,6.9%,105.1,0.189781,0.001013,2.5%,0.0%
1,False,0.05,0.05,11,12.6%,114.0,0.211282,0.000690,9.1%,0.0%
1,False,0.05,0.05,12,5.3%,111.0,0.229636,0.000705,1.4%,0.0%
1,False,0.05,0.05,13,3.5%,105.5,0.205546,0.000755,0.0%,0.0%
1,False,0.05,0.05,14,8.7%,111.1,0.185960,0.000814,5.3%,0.0%
1,False,0.05,0.05,15,3.6%,105.9,0.205384,0.000780,0.0%,0.0%
1,False,0.05,0.05,16,12.8%,111.0,0.209321,0.000698,8.9%,0.0%
1,False,0.05,0.05,17,12.6%,110.9,0.196946,0.000575,8.9%,0.0%
1,False,0.05,0.05,18,9.0%,110.7,0.207853,0.000614,5.2%,0.0%
1,False,0.05,0.05,19,3.8%,105.9,0.214515,0.000827,0.0%,0.0%
1,False,0.05,0.05,20,4.5%,106.1,0.190368,0.000749,0.0%,0.0%
2,False,0.05,0.05,1,8.2%,113.9,0.200783,0.001503,6.4%,0.0%
2,False,0.05,0.05,2,5.5%,114.8,0.209301,0.001576,3.8%,0.0%
2,False,0.05,0.05,3,8.3%,114.2,0.207918,0.001463,6.5%,0.0%
2,False,0.05,0.05,4,5.2%,108.2,0.201570,0.001390,3.4%,0.0%
2,False,0.05,0.05,5,4.2%,110.0,0.199584,0.001462,2.4%,0.0%
2,False,0.05,0.05,6,5.4%,112.5,0.215308,0.001332,3.6%,0.0%
2,False,0.05,0.05,7,3.8%,108.6,0.225149,0.001662,2.0%,0.0%
2,False,0.05,0.05,8,4.8%,112.8,0.220447,0.001373,2.7%,0.0%
2,False,0.05,0.05,9,5.1%,108.6,0.239196,0.001430,3.4%,0.0%
2,False,0.05,0.05,10,2.9%,109.8,0.233485,0.001529,0.2%,0.0%
2,False,0.05,0.05,11,4.4%,112.9,0.212263,0.001497,2.7%,0.0%
2,False,0.05,0.05,12,3.2%,112.3,0.226388,0.001476,1.4%,0.0%
2,False,0.05,0.05,13,6.2%,112.6,0.225732,0.001277,4.4%,0.0%
2,False,0.05,0.05,14,6.9%,112.6,0.204412,0.001325,4.7%,0.0%
2,False,0.05,0.05,15,1.7%,107.4,0.201612,0.001448,0.0%,0.0%
2,False,0.05,0.05,16,7.6%,111.0,0.232033,0.001336,5.8%,0.0%
2,False,0.05,0.05,17,6.3%,115.3,0.229481,0.001601,4.4%,0.0%
2,False,0.05,0.05,18,4.3%,109.7,0.208447,0.001406,2.1%,0.0%
2,False,0.05,0.05,19,5.6%,111.8,0.220657,0.001536,3.9%,0.0%
2,False,0.05,0.05,20,5.3%,112.4,0.219191,0.001643,3.6%,0.0%
3,False,0.05,0.05,1,4.9%,112.1,0.212611,0.002066,3.3%,0.0%
3,False,0.05,0.05,2,4.7%,112.0,0.214989,0.002238,3.1%,0.0%
3,False,0.05,0.05,3,1.5%,106.4,0.217198,0.002123,0.1%,0.0%
3,False,0.05,0.05,4,1.6%,106.5,0.211265,0.002164,0.0%,0.0%
3,False,0.05,0.05,5,1.5%,106.5,0.210454,0.002287,0.0%,0.0%
3,False,0.05,0.05,6,1.5%,106.4,0.214414,0.002387,0.0%,0.0%
3,False,0.05,0.05,7,2.4%,108.9,0.225655,0.002054,0.8%,0.0%
3,False,0.05,0.05,8,3.2%,106.2,0.211573,0.002319,1.5%,0.0%
3,False,0.05,0.05,9,1.6%,106.4,0.231439,0.001934,0.1%,0.0%
3,False,0.05,0.05,10,1.7%,106.4,0.241933,0.002183,0.1%,0.0%
3,False,0.05,0.05,11,2.3%,109.2,0.217241,0.002029,0.8%,0.0%
3,False,0.05,0.05,12,5.7%,108.4,0.222273,0.002214,4.2%,0.0%
3,False,0.05,0.05,13,2.8%,109.3,0.206930,0.002258,0.8%,0.0%
3,False,0.05,0.05,14,5.6%,105.9,0.211327,0.002101,3.2%,0.0%
3,False,0.05,0.05,15,1.5%,109.1,0.240367,0.002318,0.0%,0.0%
3,False,0.05,0.05,16,3.8%,109.2,0.208191,0.002441,2.4%,0.0%
3,False,0.05,0.05,17,5.3%,105.8,0.210464,0.002592,2.5%,0.0%
3,False,0.05,0.05,18,4.7%,112.0,0.214002,0.002441,3.2%,0.0%
3,False,0.05,0.05,19,1.6%,106.4,0.223965,0.002280,0.1%,0.0%
3,False,0.05,0.05,20,5.8%,107.6,0.198823,0.002339,3.4%,0.0%
4,False,0.05,0.05,1,1.6%,102.4,0.218914,0.002944,0.0%,0.0%
4,False,0.05,0.05,2,4.0%,105.9,0.199138,0.002854,2.5%,0.0%
4,False,0.05,0.05,3,1.5%,102.8,0.216484,0.003112,0.0%,0.0%
4,False,0.05,0.05,4,4.1%,104.8,0.214997,0.003267,2.5%,0.0%
4,False,0.05,0.05,5,4.9%,101.6,0.202819,0.003090,2.6%,0.0%
4,False,0.05,0.05,6,4.9%,101.9,0.205812,0.003209,2.5%,0.0%
4,False,0.05,0.05,7,5.0%,102.0,0.204473,0.002862,2.6%,0.0%
4,False,0.05,0.05,8,2.8%,105.6,0.226117,0.002880,1.4%,0.0%
4,False,0.05,0.05,9,2.0%,103.5,0.217792,0.003291,0.0%,0.0%
4,False,0.05,0.05,10,5.0%,101.8,0.215031,0.003327,2.7%,0.0%
4,False,0.05,0.05,11,1.5%,102.4,0.210672,0.002892,0.0%,0.0%
4,False,0.05,0.05,12,5.3%,101.7,0.199772,0.003389,2.9%,0.0%
4,False,0.05,0.05,13,1.5%,102.5,0.219884,0.003055,0.0%,0.0%
4,False,0.05,0.05,14,1.5%,102.5,0.213519,0.002610,0.0%,0.0%
4,False,0.05,0.05,15,1.5%,102.8,0.208548,0.002995,0.0%,0.0%
